User_ID,Group,Task_Completion_Rate,Download_Interaction_Rate,Time_Spent,Number_of_Preprocessing_Actions,Button_Click_Rate,Module_Navigation_Depth,Early_Exit_Rate,Interaction_Latency,Scroll_Activity,Plot_Interactions,Total_Time_Spent,Time_data_upload,Time_data_cleaning,Time_feature_engineering,Time_exploratory_analysis
1,A,0,0,"{'data_upload': 220, 'data_cleaning': 140, 'feature_engineering': 309, 'exploratory_analysis': 172}",6,221,1,1,1,5,1,841,220,140,309,172
2,A,0,0,"{'data_upload': 274, 'data_cleaning': 427, 'feature_engineering': 245, 'exploratory_analysis': 272}",3,99,3,1,12,7,4,1218,274,427,245,272
3,A,0,2,"{'data_upload': 271, 'data_cleaning': 554, 'feature_engineering': 468, 'exploratory_analysis': 178}",3,215,1,1,17,5,0,1471,271,554,468,178
4,A,0,2,"{'data_upload': 144, 'data_cleaning': 472, 'feature_engineering': 299, 'exploratory_analysis': 299}",4,143,3,1,6,5,2,1214,144,472,299,299
5,A,1,0,"{'data_upload': 247, 'data_cleaning': 107, 'feature_engineering': 224, 'exploratory_analysis': 130}",2,285,3,0,13,9,3,708,247,107,224,130
6,A,0,1,"{'data_upload': 108, 'data_cleaning': 222, 'feature_engineering': 477, 'exploratory_analysis': 212}",6,76,2,1,1,6,5,1019,108,222,477,212
7,B,0,3,"{'data_upload': 239, 'data_cleaning': 629, 'feature_engineering': 168, 'exploratory_analysis': 322}",9,39,2,1,3,11,5,1358,239,629,168,322
8,B,0,2,"{'data_upload': 337, 'data_cleaning': 118, 'feature_engineering': 407, 'exploratory_analysis': 330}",4,26,5,1,4,13,8,1192,337,118,407,330
9,B,1,2,"{'data_upload': 194, 'data_cleaning': 655, 'feature_engineering': 294, 'exploratory_analysis': 170}",8,31,2,0,12,3,8,1313,194,655,294,170
10,B,1,0,"{'data_upload': 310, 'data_cleaning': 616, 'feature_engineering': 641, 'exploratory_analysis': 130}",3,16,2,0,11,4,4,1697,310,616,641,130
11,B,1,2,"{'data_upload': 94, 'data_cleaning': 133, 'feature_engineering': 360, 'exploratory_analysis': 124}",4,25,4,0,12,6,6,711,94,133,360,124
12,B,1,1,"{'data_upload': 176, 'data_cleaning': 102, 'feature_engineering': 561, 'exploratory_analysis': 173}",7,36,3,0,9,0,4,1012,176,102,561,173
13,B,1,0,"{'data_upload': 331, 'data_cleaning': 546, 'feature_engineering': 343, 'exploratory_analysis': 396}",6,38,2,0,10,13,3,1616,331,546,343,396
14,B,1,3,"{'data_upload': 99, 'data_cleaning': 466, 'feature_engineering': 642, 'exploratory_analysis': 211}",3,32,4,0,1,5,5,1418,99,466,642,211
15,A,0,0,"{'data_upload': 52, 'data_cleaning': 470, 'feature_engineering': 369, 'exploratory_analysis': 222}",0,155,3,1,6,4,4,1113,52,470,369,222
16,B,1,1,"{'data_upload': 269, 'data_cleaning': 186, 'feature_engineering': 530, 'exploratory_analysis': 101}",10,29,2,0,14,9,2,1086,269,186,530,101
17,B,1,2,"{'data_upload': 218, 'data_cleaning': 288, 'feature_engineering': 210, 'exploratory_analysis': 342}",6,36,2,0,11,6,8,1058,218,288,210,342
18,B,1,2,"{'data_upload': 310, 'data_cleaning': 478, 'feature_engineering': 320, 'exploratory_analysis': 202}",7,41,5,0,15,1,3,1310,310,478,320,202
19,A,0,2,"{'data_upload': 234, 'data_cleaning': 373, 'feature_engineering': 456, 'exploratory_analysis': 249}",4,92,2,1,15,6,5,1312,234,373,456,249
20,B,1,0,"{'data_upload': 159, 'data_cleaning': 313, 'feature_engineering': 626, 'exploratory_analysis': 116}",1,38,5,0,9,5,7,1214,159,313,626,116
21,A,0,2,"{'data_upload': 267, 'data_cleaning': 124, 'feature_engineering': 466, 'exploratory_analysis': 111}",0,272,1,1,12,4,0,968,267,124,466,111
22,B,1,3,"{'data_upload': 303, 'data_cleaning': 372, 'feature_engineering': 326, 'exploratory_analysis': 279}",9,36,4,0,2,0,4,1280,303,372,326,279
23,B,1,3,"{'data_upload': 160, 'data_cleaning': 628, 'feature_engineering': 229, 'exploratory_analysis': 343}",2,33,4,0,1,9,4,1360,160,628,229,343
24,A,1,1,"{'data_upload': 240, 'data_cleaning': 350, 'feature_engineering': 330, 'exploratory_analysis': 154}",6,60,2,0,5,9,1,1074,240,350,330,154
25,A,1,0,"{'data_upload': 214, 'data_cleaning': 198, 'feature_engineering': 388, 'exploratory_analysis': 199}",4,115,2,0,3,8,3,999,214,198,388,199
26,A,0,1,"{'data_upload': 252, 'data_cleaning': 171, 'feature_engineering': 474, 'exploratory_analysis': 188}",6,249,1,1,2,9,0,1085,252,171,474,188
27,B,0,1,"{'data_upload': 82, 'data_cleaning': 505, 'feature_engineering': 270, 'exploratory_analysis': 114}",8,23,2,1,15,2,2,971,82,505,270,114
28,A,0,2,"{'data_upload': 262, 'data_cleaning': 589, 'feature_engineering': 380, 'exploratory_analysis': 192}",6,49,1,1,11,2,1,1423,262,589,380,192
29,B,1,0,"{'data_upload': 303, 'data_cleaning': 141, 'feature_engineering': 271, 'exploratory_analysis': 378}",9,33,5,0,12,11,7,1093,303,141,271,378
30,B,1,1,"{'data_upload': 291, 'data_cleaning': 513, 'feature_engineering': 326, 'exploratory_analysis': 221}",3,50,2,0,3,7,8,1351,291,513,326,221
